FakeRecon_1_Eta_Pt_0t5, x, x
Value, xaxis, error
 0, 0.125, 0
 0, 0.225, 0
 0.0833333, 0.275, 0.0460642
 0.199537, 0.325, 0.0611759
 0.609328, 0.375, 0.0544297
 0.46174, 0.425, 0.0512462
 0.165288, 0.475, 0.0306834
 0.184508, 0.525, 0.0332051
 0.155956, 0.575, 0.0256903
 0.12239, 0.625, 0.0213175
 0.0864121, 0.675, 0.0157613
 0.0469951, 0.725, 0.00969111
 0.0322332, 0.775, 0.0080418
 0.0268721, 0.825, 0.00700457
 0.0204796, 0.875, 0.00550838
 0.0309545, 0.925, 0.00705888
 0.023213, 0.975, 0.00577637
 0.0193487, 1.025, 0.00482366
 0.0174447, 1.075, 0.00438121
 0.0160226, 1.125, 0.00404279
 0.014493, 1.175, 0.00369181
 0.0126748, 1.25, 0.00325133
 0.010583, 1.35, 0.00270298
 0.00913675, 1.45, 0.00230692
 0.008229, 1.55, 0.00205406
 0.00743884, 1.65, 0.00189999
 0.00667967, 1.75, 0.00163631
 0.00606165, 1.85, 0.00148763
 0.00561983, 1.95, 0.00133459
 0.00450697, 2.25, 0.00105502
 0.00323057, 2.75, 0.000683991
 0.00254929, 3.5, 0.000500592
 0.00218214, 4.5, 0.000426806
 0, 5.075, 0
 FakeRecon_All_Eta_Pt_2p0,x,x
 0, -2.53333, 0
 0.0384997, -2.2, 0.00556738
 0.0511702, -1.9, 0.00727531
 0.0614005, -1.6, 0.00796962
 0.0908128, -1.35, 0.0109537
 0.106854, -1.25, 0.0127614
 0.0870429, -1.1, 0.0114398
 0.0645722, -0.9, 0.0106732
 0.0377304, -0.6, 0.00745483
 0.045823, -0.2, 0.0102776
 0.0479763, 0.2, 0.0104896
 0.0425253, 0.6, 0.00839164
 0.0663389, 0.9, 0.011357
 0.105416, 1.1, 0.0145602
 0.117234, 1.25, 0.0144984
 0.101945, 1.35, 0.0130132
 0.0675637, 1.6, 0.00921547
 0.0548793, 1.9, 0.00837927
 0.042788, 2.2, 0.00673547
 0, 2.53333, 0
 FakeRecon_All_Eta_Pt_0p4,x,x
 0, -2.53333, 0
 0.0860214, -2.2, 0.013462
 0.103797, -1.9, 0.0148678
 0.13196, -1.6, 0.0179546
 0.158077, -1.35, 0.0194693
 0.155832, -1.25, 0.0190571
 0.103215, -1.1, 0.0151629
 0.062907, -0.9, 0.0100507
 0.0454775, -0.6, 0.00956986
 0.0648057, -0.2, 0.0133909
 0.0750258, 0.2, 0.0150872
 0.0620278, 0.6, 0.0119829
 0.0739976, 0.9, 0.0121868
 0.156807, 1.1, 0.0199156
 0.171275, 1.25, 0.0198227
 0.164485, 1.35, 0.0196935
 0.132876, 1.6, 0.0175542
 0.108249, 1.9, 0.0153986
 0.091651, 2.2, 0.0140229
 0, 2.53333, 0
 FakeRecon_1_Eta_Pt_0t5, x ,x
 0, 0.125, 0
 0, 0.225, 0
 0.0833333, 0.275, 0.0460642
 0.199537, 0.325, 0.0611759
 0.609328, 0.375, 0.0544297
 0.46174, 0.425, 0.0512462
 0.165288, 0.475, 0.0306834
 0.184508, 0.525, 0.0332051
 0.155956, 0.575, 0.0256903
 0.12239, 0.625, 0.0213175
 0.0864121, 0.675, 0.0157613
 0.0469951, 0.725, 0.00969111
 0.0322332, 0.775, 0.0080418
 0.0268721, 0.825, 0.00700457
 0.0204796, 0.875, 0.00550838
 0.0309545, 0.925, 0.00705888
 0.023213, 0.975, 0.00577637
 0.0193487, 1.025, 0.00482366
 0.0174447, 1.075, 0.00438121
 0.0160226, 1.125, 0.00404279
 0.014493, 1.175, 0.00369181
 0.0126748, 1.25, 0.00325133
 0.010583, 1.35, 0.00270298
 0.00913675, 1.45, 0.00230692
 0.008229, 1.55, 0.00205406
 0.00743884, 1.65, 0.00189999
 0.00667967, 1.75, 0.00163631
 0.00606165, 1.85, 0.00148763
 0.00561983, 1.95, 0.00133459
 0.00450697, 2.25, 0.00105502
 0.00323057, 2.75, 0.000683991
 0.00254929, 3.5, 0.000500592
 0.00218214, 4.5, 0.000426806
 0, 5.075, 0
XEfficiencyX,x,x
AbsoluteEfficiency_All_Eta_Pt_2p0,x,x
 0, -2.53333, 0
 0.488992, -2.2, 0.0120123
 0.503683, -1.9, 0.0125525
 0.400251, -1.6, 0.0121147
 0.313565, -1.35, 0.0116032
 0.331425, -1.25, 0.012666
 0.398334, -1.1, 0.0147259
 0.494319, -0.9, 0.0168203
 0.536167, -0.6, 0.017815
 0.543982, -0.2, 0.0200611
 0.532858, 0.2, 0.0195984
 0.509524, 0.6, 0.0173337
 0.477818, 0.9, 0.0159317
 0.353087, 1.1, 0.0135905
 0.305349, 1.25, 0.011835
 0.310576, 1.35, 0.0112681
 0.411577, 1.6, 0.011865
 0.519588, 1.9, 0.0121747
 0.49264, 2.2, 0.0117835
 0, 2.53333, 0
 AbsoluteEfficiency_All_Eta_Pt_0t5,x,x
 0, 0.125, 0
 9.10011e-05, 0.225, 2.46916e-05
 0.0012251, 0.275, 0.000325962
 0.00421713, 0.325, 0.00112355
 0.00989392, 0.375, 0.00281855
 0.0229548, 0.425, 0.00410199
 0.100257, 0.475, 0.00673675
 0.147552, 0.525, 0.00784301
 0.193387, 0.575, 0.00953743
 0.245344, 0.625, 0.00976267
 0.289053, 0.675, 0.0102931
 0.364779, 0.725, 0.0112976
 0.396897, 0.775, 0.0118443
 0.409445, 0.825, 0.0116747
 0.384223, 0.875, 0.0121054
 0.394809, 0.925, 0.0132112
 0.487334, 0.975, 0.0133461
 0.502059, 1.025, 0.0129203
 0.516233, 1.075, 0.0124648
 0.529313, 1.125, 0.012065
 0.539633, 1.175, 0.0116721
 0.551061, 1.25, 0.0113102
 0.56154, 1.35, 0.0110574
 0.57124, 1.45, 0.0107599
 0.580093, 1.55, 0.0104261
 0.585905, 1.65, 0.0102657
 0.59035, 1.75, 0.0101539
 0.595068, 1.85, 0.0101001
 0.599929, 1.95, 0.00998425
 0.605018, 2.25, 0.0101386
 0.607304, 2.75, 0.00995122
 0.603606, 3.5, 0.00972516
 0.597013, 4.5, 0.00951813
 0, 5.075, 0
  AbsoluteEfficiency_All_Eta_Pt_0p4,x ,x
 0, -2.53333, 0
 0.425614, -2.2, 0.0159257
 0.438486, -1.9, 0.0165109
 0.34705, -1.6, 0.0145761
 0.271767, -1.35, 0.0128146
 0.287236, -1.25, 0.0138206
 0.345223, -1.1, 0.0162709
 0.42841, -0.9, 0.0192191
 0.464678, -0.6, 0.0205654
 0.471451, -0.2, 0.0221868
 0.461811, 0.2, 0.0216975
 0.441588, 0.6, 0.0198076
 0.414112, 0.9, 0.018363
 0.306015, 1.1, 0.01479
 0.264654, 1.25, 0.0128456
 0.269205, 1.35, 0.012537
 0.357055, 1.6, 0.0145995
 0.453903, 1.9, 0.0163811
 0.429542, 2.2, 0.0157605
 0, 2.53333, 0
 AbsoluteEfficiency_1_Eta_Pt_0t5,x,x
 0, 0.125, 0
 0, 0.225, 0
 0, 0.275, 0
 4.30874e-07, 0.325, 1.89876e-07
 5.43202e-05, 0.375, 1.5188e-05
 0.00120926, 0.425, 0.000268261
 0.0678452, 0.475, 0.00533885
 0.119523, 0.525, 0.00736093
 0.143413, 0.575, 0.00689816
 0.227276, 0.625, 0.0110077
 0.27902, 0.675, 0.0124671
 0.414715, 0.725, 0.0156162
 0.466888, 0.775, 0.0169451
 0.483251, 0.825, 0.0164119
 0.462575, 0.875, 0.017539
 0.471496, 0.925, 0.0197213
 0.58257, 0.975, 0.0193833
 0.595513, 1.025, 0.0182929
 0.607155, 1.075, 0.0172425
 0.618408, 1.125, 0.016336
 0.626226, 1.175, 0.0156891
 0.635378, 1.25, 0.0149231
 0.644521, 1.35, 0.0144777
 0.652667, 1.45, 0.014123
 0.659216, 1.55, 0.0136715
 0.663209, 1.65, 0.0137152
 0.6666, 1.75, 0.0135537
 0.670226, 1.85, 0.0135239
 0.673939, 1.95, 0.0134484
 0.682088, 2.25, 0.0140284
 0.683295, 2.75, 0.0140404
 0.677881, 3.5, 0.0137415
 0.666929, 4.5, 0.0134694
 0, 5.075, 0